Date,Question,Outcome,Side,Price,Size (USDC)
"2026-01-02T18:55:37.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","28.0¢","$1.52"
"2026-01-02T18:55:33.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","50.0¢","$4.54"
"2026-01-02T18:55:33.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","50.0¢","$103.24"
"2026-01-02T18:55:33.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","28.0¢","$2.94"
"2026-01-02T18:55:31.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","69.0¢","$4.68"
"2026-01-02T18:55:25.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","50.0¢","$15.50"
"2026-01-02T18:55:13.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","80.0¢","$10.00"
"2026-01-02T18:55:09.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","52.0¢","$100.00"
"2026-01-02T18:55:09.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","51.0¢","$1000.11"
"2026-01-02T18:55:09.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","50.0¢","$465.29"
"2026-01-02T18:55:09.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","70.0¢","$6.14"
"2026-01-02T18:54:45.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","27.0¢","$5.00"
"2026-01-02T18:54:43.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","80.2¢","$100.97"
"2026-01-02T18:54:39.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","81.0¢","$1458.06"
"2026-01-02T18:54:39.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","27.0¢","$5.00"
"2026-01-02T18:54:37.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","27.0¢","$8.15"
"2026-01-02T18:54:35.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","70.0¢","$5.00"
"2026-01-02T18:54:33.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","52.0¢","$29.73"
